,index,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Route name,Description
0,0,Polar Bear,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111786333/polar-bear,2.7,-1,Boulder,V0 PG13,1,,40.47547,-74.7016,Polar Bear,Not available
1,1,Axe,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111786367/axe,1.4,-1,Boulder,V0,1,,40.47547,-74.7016,Axe,Not available
2,2,Lazy Day,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111786381/lazy-day,1.6,-1,Boulder,V0,1,,40.47547,-74.7016,Lazy Day,Not available
3,3,Hatchet,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117960646/hatchet,1.7,-1,Boulder,V0,1,,40.47547,-74.7016,Hatchet,Same SDS as Axe to the right of the arête. Make a few moves up the arête then pull yourself onto the slab. Keep moving up the slab and top out.Let me know if this line has an established name and I'll change it.
4,4,unnamed,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111332494/unnamed,1.0,-1,Boulder,V0+,1,,40.47547,-74.7016,Unnamed,Not available
5,5,Softy,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111786294/softy,2.1,-1,Boulder,V1,1,,40.47547,-74.7016,Softy,Not available
6,6,Sellers Roof,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111332372/sellers-roof,2.3,-1,Boulder,V2-3,1,,40.47547,-74.7016,Sellers Roof,Not available
7,7,Jay's Days,Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/108855573/jays-days,2.4,-1,Boulder,V3+ PG13,1,,40.47547,-74.7016,Jays Days,Sit start on the far end of the roof and move all the way around and left
8,8,unnamed V0,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111177285/unnamed-v0,2.0,-1,Boulder,V0,1,,40.47667,-74.70444,Unnamed V0,Not available
9,9,Oedipus Complex,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118032346/oedipus-complex,2.0,-1,Boulder,V0,1,,40.47667,-74.70444,Oedipus Complex,"Very easy warmup route, or something beginners can do if they can't do much else. There's a diagonal handhold running up and left to right. The feet are a little tough and slabby, but once one has the good handhold, you're golden."
