Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Polar Bear","Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111786333/polar-bear,2.7,-1,Boulder,"V0 PG13",1,,40.47547,-74.7016
Axe,"Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111786367/axe,1.4,-1,Boulder,V0,1,,40.47547,-74.7016
"Lazy Day","Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111786381/lazy-day,1.6,-1,Boulder,V0,1,,40.47547,-74.7016
Hatchet,"Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/117960646/hatchet,1.7,-1,Boulder,V0,1,,40.47547,-74.7016
unnamed,"Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111332494/unnamed,1.0,-1,Boulder,V0+,1,,40.47547,-74.7016
Softy,"Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111786294/softy,2.1,-1,Boulder,V1,1,,40.47547,-74.7016
"Sellers Roof","Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111332372/sellers-roof,2.3,-1,Boulder,V2-3,1,,40.47547,-74.7016
"Jay's Days","Southfield > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/108855573/jays-days,2.4,-1,Boulder,"V3+ PG13",1,,40.47547,-74.7016
"unnamed V0","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111177285/unnamed-v0,2.0,-1,Boulder,V0,1,,40.47667,-74.70444
"Oedipus Complex","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/118032346/oedipus-complex,2.0,-1,Boulder,V0,1,,40.47667,-74.70444
"Devil's Traverse","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112384621/devils-traverse,2.9,-1,Boulder,V1,1,,40.47667,-74.70444
"The Vill","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111078001/the-vill,1.8,-1,Boulder,V1,1,,40.47667,-74.70444
"Flight of Falcor","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112510615/flight-of-falcor,2.0,-1,Boulder,V1-2,1,7,40.47667,-74.70444
"The Wave","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111077772/the-wave,2.7,-1,Boulder,V2,1,,40.47667,-74.70444
"The Cling","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111176889/the-cling,2.8,-1,Boulder,V2,1,10,40.47667,-74.70444
"Spider's Nest Dihedral","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/117090265/spiders-nest-dihedral,-1.0,-1,Boulder,V2,1,10,40.47667,-74.70444
"The Wave Mantle","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111178745/the-wave-mantle,2.3,-1,Boulder,V2,1,,40.47667,-74.70444
Crankshaft,"Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111077961/crankshaft,2.1,-1,Boulder,V3,1,,40.47667,-74.70444
"Spider's Nest","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/117090379/spiders-nest,3.0,-1,Boulder,V3,1,15,40.47667,-74.70444
"Go Make Some Babies","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111077985/go-make-some-babies,3.0,-1,Boulder,V3,1,,40.47667,-74.70444
"Cranky Piston Baby","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111740562/cranky-piston-baby,2.0,-1,Boulder,V3,1,,40.47667,-74.70444
"Death Grips Slab","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112061135/death-grips-slab,2.0,-1,Boulder,V3+,1,10,40.47667,-74.70444
Piston,"Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111178496/piston,3.0,-1,Boulder,V4+,1,,40.47667,-74.70444
"The Wave Full","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111178767/the-wave-full,3.3,-1,Boulder,V5,1,,40.47667,-74.70444
"Corner problem","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111177238/corner-problem,1.2,-1,Boulder,V0,1,,40.47777,-74.70332
unnamed,"Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111177248/unnamed,1.3,-1,Boulder,V0,1,,40.47777,-74.70332
"unnamed V0","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111177343/unnamed-v0,2.5,-1,Boulder,"V0 PG13",1,,40.47777,-74.70332
"Old School","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111078219/old-school,2.4,-1,Boulder,V1,1,,40.47777,-74.70332
"Lateral internal sphincterotomy","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/113170819/lateral-internal-sphincterotomy,2.0,-1,Boulder,V1,1,,40.47777,-74.70332
"The Slab","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111177200/the-slab,1.9,-1,Boulder,V1+,1,,40.47777,-74.70332
"Good Vibrations","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111078185/good-vibrations,3.4,-1,Boulder,V4,1,10,40.47777,-74.70332
"The Dwarf","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111178339/the-dwarf,2.9,-1,Boulder,V5-6,1,,40.47777,-74.70332
"Dwarf in Paris","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/113170726/dwarf-in-paris,3.0,-1,Boulder,V6,1,15,40.47777,-74.70332
"Get Dumb","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/117842022/get-dumb,1.5,-1,Boulder,V0,1,15,40.46075,-74.70829
"The Gator","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112142911/the-gator,3.1,-1,Boulder,V2,1,,40.46075,-74.70829
"Industrial Society and Its Future","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/122237321/industrial-society-and-its-future,3.0,-1,Boulder,"V2 X",1,25,40.46075,-74.70829
"The Flying Eagle","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/118666274/the-flying-eagle,3.8,-1,Boulder,"V3 PG13",1,25,40.46075,-74.70829
"Get Smart","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112142780/get-smart,3.5,-1,Boulder,V3+,1,,40.46075,-74.70829
"Zoom Zoom","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/122188281/zoom-zoom,2.5,-1,Boulder,V5,1,,40.46075,-74.70829
"Five guys","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/113567426/five-guys,2.0,-1,Boulder,V6,1,,40.46075,-74.70829
"Heart Shaped Box","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112142926/heart-shaped-box,2.6,-1,Boulder,V6-7,1,,40.46075,-74.70829
"Blood Sport","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/118700756/blood-sport,4.0,-1,Boulder,V8,1,,40.46075,-74.70829
"Social Distancing","Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/118747540/social-distancing,4.0,-1,Boulder,"V8+ PG13",1,40,40.46075,-74.70829
"Mono Face","Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112143651/mono-face,2.3,-1,Boulder,V1,1,,40.46592,-74.71362
"The Hump","Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112143517/the-hump,1.4,-1,Boulder,V3,1,,40.46592,-74.71362
"Let's see how far we go","Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/113567526/lets-see-how-far-we-go,2.0,-1,Boulder,V4-5,1,,40.46592,-74.71362
