Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Falling,"a. Descent Trail Area > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106134572/falling,1.7,-1,Boulder,"V0+ R",1,,40.44063,-75.09975
"Mickey's Mantle","b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106135045/mickeys-mantle,2.0,-1,Boulder,V0,1,,40.44047,-75.0994
"Warmup Traverse","b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106135040/warmup-traverse,-1.0,-1,Boulder,V0+,1,,40.44047,-75.0994
"Crank N' Up","b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106135034/crank-n-up,-1.0,-1,Boulder,V0+,1,,40.44047,-75.0994
Bootwear,"c. Neolithic Wall > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106135081/bootwear,1.0,-1,Boulder,V4,1,,40.44066,-75.09934
Weaker,"Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120104681/weaker,3.0,-1,Boulder,V0-1,1,15,40.48079,-75.22346
"Meeker V5 Variation","Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108410251/meeker-v5-variation,2.8,-1,Boulder,V5,1,10,40.48079,-75.22346
"Meeker SDS","Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108410236/meeker-sds,2.5,-1,Boulder,V8-9,1,15,40.48079,-75.22346
"V2 by Meeker","V2 Boulder > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108410217/v2-by-meeker,1.5,-1,Boulder,V2,1,10,40.48042,-75.22327
Bypass,"Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116167312/bypass,2.0,-1,Boulder,V0,1,,40.48054,-75.2236
"Paddle Prow","Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108410294/paddle-prow,2.0,-1,Boulder,V2,1,15,40.48054,-75.2236
"Patoggan Run","Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108410279/patoggan-run,3.1,-1,Boulder,V4,1,15,40.48054,-75.2236
"Escalator Traverse","Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116166999/escalator-traverse,3.0,-1,Boulder,V6,1,,40.48054,-75.2236
"Bubblegum Face","Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478422/bubblegum-face,2.9,-1,Boulder,V0+,1,15,40.48211,-75.22378
"Bubblegum Face Sit","Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/111073360/bubblegum-face-sit,2.6,-1,Boulder,V1,1,10,40.48211,-75.22378
"Bubblegum Variation","Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/111151375/bubblegum-variation,3.0,-1,Boulder,V3,1,10,40.48211,-75.22378
Bubblegum,"Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478393/bubblegum,3.2,-1,Boulder,V3,1,10,40.48211,-75.22378
"Cave Crack","Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/109881312/cave-crack,2.8,-1,Boulder,V5,1,,40.48211,-75.22378
"Line Graph Traverse","Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/111168948/line-graph-traverse,2.7,-1,Boulder,V2-,1,10,40.48176,-75.224
"Happy Cow","Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478412/happy-cow,2.5,-1,Boulder,V2,1,15,40.48176,-75.224
Shredder,"Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/109646172/shredder,2.6,-1,Boulder,V3,1,10,40.48176,-75.224
Gumball,"Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107872120/gumball,3.1,-1,Boulder,V4,1,10,40.48176,-75.224
"Before the Forum","Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/109509310/before-the-forum,3.3,-1,Boulder,V4,1,15,40.48176,-75.224
