,index,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description
0,0,Falling,a. Descent Trail Area > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/106134572/falling,1.7,-1,Boulder,V0+ R,1,,40.44063,-75.09975,A roof problem on the detached outcrop at the top of the descent trail.  Pull the roof w/o using cheater blocks.  Often top roped due to the bad landing.
1,1,Mickeys Mantle,b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/106135045/mickeys-mantle,2.0,-1,Boulder,V0,1,,40.44047,-75.0994,"Pull the overhang onto an awkward, sloping ledge."
2,2,Warmup Traverse,b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/106135040/warmup-traverse,-1.0,-1,Boulder,V0+,1,,40.44047,-75.0994,Begin at the Practice Chimney and climb down and right below an overhanging bulge.  Continue right just above the ground until you reach the grungy section at the Weeping Wall.
3,3,Crank N Up,b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/106135034/crank-n-up,-1.0,-1,Boulder,V0+,1,,40.44047,-75.0994,Reach up for the jug and climb the arete for 5 feet to a stance.  Escape left.  Use only the overhanging arete for feet.
4,4,Bootwear,c. Neolithic Wall > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/106135081/bootwear,1.0,-1,Boulder,V4,1,,40.44066,-75.09934,Climb the blank face betwen two cracks to a small ledge at 13 feet.The cracks and adjacent holds are off route.
5,5,Weaker,Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/120104681/weaker,3.0,-1,Boulder,V0-1,1,15.0,40.48079,-75.22346,"An enjoyable easy route, a good warmup for the harder routes in the area. Sit start on a left sloping edge and move directly up right of the arete created with the alcove. Some fun movements that will loosen the joints. Assume the alcove and the crack above it are off."
6,6,Meeker V5 Variation,Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410251/meeker-v5-variation,2.8,-1,Boulder,V5,1,10.0,40.48079,-75.22346,Start sitting on the boulder.  Squeeze the overhanging prow to the top.
7,7,Meeker Sds,Meeker > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410236/meeker-sds,2.5,-1,Boulder,V8-9,1,15.0,40.48079,-75.22346,Sit down start as low as possible.  Squeeze the overhanging prow to the top.
8,8,V2 By Meeker,V2 Boulder > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410217/v2-by-meeker,1.5,-1,Boulder,V2,1,10.0,40.48042,-75.22327,Climb the face to the slopey top out up and left.
9,9,Bypass,Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/116167312/bypass,2.0,-1,Boulder,V0,1,,40.48054,-75.2236,"Looking directly atPatoggan Run, start in the rounded dihedral near the left arete with a good edge on the arete. Smear up into the dihedral and traverse right to joinPattogan Run."
10,10,Paddle Prow,Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410294/paddle-prow,2.0,-1,Boulder,V2,1,15.0,40.48054,-75.2236,"Climb the blunt, slabby arete to the right of the V6 slab."
11,11,Patoggan Run,Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410279/patoggan-run,3.1,-1,Boulder,V4,1,15.0,40.48054,-75.2236,Climb the steep slab.
12,12,Escalator Traverse,Patoggan Run > Meeker Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/116166999/escalator-traverse,3.0,-1,Boulder,V6,1,,40.48054,-75.2236,"If you are looking directly atPatoggan Run, it's the right side of the boulder.Start on the left side of the face with a good low foothold, just right of a dead tree stalk. Traverse right along the face with good footholds in the low crack. Link intoPaddle Prowat the right arete."
13,13,Bubblegum Face,Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107478422/bubblegum-face,2.9,-1,Boulder,V0+,1,15.0,40.48211,-75.22378,"The standard warmup problem for the area, start on two sidepulls and follow big holds to the finish."
14,14,Bubblegum Face Sit,Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111073360/bubblegum-face-sit,2.6,-1,Boulder,V1,1,10.0,40.48211,-75.22378,Start on low undercling with a good left foot and move up into Bubblegum Face
15,15,Bubblegum Variation,Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111151375/bubblegum-variation,3.0,-1,Boulder,V3,1,10.0,40.48211,-75.22378,Same SDS as Bubblegum. Go to first good horizontal and straight up from there to a crimp and then huge jug. Top out.
16,16,Bubblegum,Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107478393/bubblegum,3.2,-1,Boulder,V3,1,10.0,40.48211,-75.22378,"Start on two jugs down low and work left to a good horizontal then up to a diagonal crimp, move right to a gaston (easier) or bring the right hand up to a good jug and top out."
17,17,Cave Crack,Bubblegum > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109881312/cave-crack,2.8,-1,Boulder,V5,1,,40.48211,-75.22378,Climb out the cave left of Bubblegum.  Strenuous topout with high dab potential.
18,18,Line Graph Traverse,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111168948/line-graph-traverse,2.7,-1,Boulder,V2-,1,10.0,40.48176,-75.224,Start on jug and traverse right across boulder on good crimp rail with a few small feet
19,19,Happy Cow,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107478412/happy-cow,2.5,-1,Boulder,V2,1,15.0,40.48176,-75.224,"Start on a jug on the right of the boulder and traverse left on the lip using small edges, turn the corner of the boulder and top out."
20,20,Shredder,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109646172/shredder,2.6,-1,Boulder,V3,1,10.0,40.48176,-75.224,Climb the overhanging crack to the juggy rail then over the top of the overhang.
21,21,Gumball,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107872120/gumball,3.1,-1,Boulder,V4,1,10.0,40.48176,-75.224,"Sit down start on a good sidepull and sloping hold.  Move up to a small crimp in the middle of the face and to a weird pocket/shallow sidepull.  Make a big move up to a good edge, and then to a pinch and top out."
22,22,Before The Forum,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109509310/before-the-forum,3.3,-1,Boulder,V4,1,15.0,40.48176,-75.224,"Climbs the prow. Start down in the pit, slightly around the corner on a horizontal crack. Trend leftwards out around the prow then straight up."
23,23,Bovine,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109824067/bovine,2.3,-1,Boulder,V6,1,12.0,40.48176,-75.224,Between Gumball (L) and Black Angus (R). Use left arete and the seam of Black Angus. WIDE arms.
24,24,In The Face Of Danger,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/119599427/in-the-face-of-danger,4.0,-1,Boulder,V7 PG13,1,12.0,40.48176,-75.224,"This climb is prominent, inspiring, and a little bit dicey, with great moves!To start it, step off the big platform onto the start holds (low left hand slopey sidepull, right hand incut but small crimp) above a very dangerous gap in the platform. Climb up through a small horn and a gaston to a jug near the tree, then a fairly moderate topout.Important: have an attentive spotter ready to push you *away* from the boulder onto the pads, to avoid the pit (maybe throw a pad down in the pit anyway in case you slide down). I felt fairly safe on it because you are pushing away from the pit to move upward, but the feet are very bad so a slip is possible."
25,25,Black Angus,Black Angus Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107943079/black-angus,3.3,-1,Boulder,V9,1,15.0,40.48176,-75.224,"SDS with a large sidepull. Climb up past a gaston, a pinch, a two finger slot, and finally the thin seam on the slab."
26,26,Savage Hand Orgy,Savage Hand Orgy > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108003579/savage-hand-orgy,2.9,-1,Boulder,V3,1,,40.48176,-75.22382,Fun sit-down-start and make a huge move or dyno to an obvious sloper and top out above
27,27,Unnamed V0,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410129/unnamed-v0,1.3,-1,Boulder,V0,1,6.0,40.48159,-75.22408,Start at the right side of the face and traverse the lip.  Top out around the left arete.
28,28,Dromedary,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/120460134/dromedary,1.7,-1,Boulder,V0,1,,40.48159,-75.22408,Start with incut holds on the left. Climb the sloping lip. Great warm up!Beta Video
29,29,Duck Dive,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410024/duck-dive,2.1,-1,Boulder,V0+,1,15.0,40.48159,-75.22408,Climb the right side of the slab.
