,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
0,Polar Bear,Boulder,V0,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111786333/polar-bear
1,Axe,Boulder,V0,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111786367/axe
2,Lazy Day,Boulder,V0,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111786381/lazy-day
3,Hatchet,Boulder,V0,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Same SDS as Axe to the right of the arête. Make a few moves up the arête then pull yourself onto the slab. Keep moving up the slab and top out.Let me know if this line has an established name and I'll change it.,https://www.mountainproject.com/route/117960646/hatchet
4,Unnamed,Boulder,V0+,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111332494/unnamed
5,Softy,Boulder,V1,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111786294/softy
6,Sellers Roof,Boulder,V2-3,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Not available,https://www.mountainproject.com/route/111332372/sellers-roof
7,Jay'S Days,Boulder,V3+,40.47547,-74.7016,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Southfield,Sit start on the far end of the roof and move all the way around and left,https://www.mountainproject.com/route/108855573/jays-days
8,Unnamed V0,Boulder,V0,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111177285/unnamed-v0
9,Oedipus Complex,Boulder,V0,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"Very easy warmup route, or something beginners can do if they can't do much else. There's a diagonal handhold running up and left to right. The feet are a little tough and slabby, but once one has the good handhold, you're golden.",https://www.mountainproject.com/route/118032346/oedipus-complex
10,Devil'S Traverse,Boulder,V1,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/112384621/devils-traverse
11,The Vill,Boulder,V1,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111078001/the-vill
12,Flight Of Falcor,Boulder,V1-2,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"Sit start with two underclings.  The large unattached rock right at the base of the boulder is off for feet! Work your left hand around and then up to a small slopey rail. Bring your right hand up to the right edge of the original feature.This next move is the crux. A high left heel / whole foot smear on the feature helps!Either make a big move with your right hand out to a crimpy sidepull, or make a weird side mantle move with your right hand and slap it way up to the slopey lip.  Match the slopey lip and top it out without using the really good jugs to the left.",https://www.mountainproject.com/route/112510615/flight-of-falcor
13,The Wave,Boulder,V2,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111077772/the-wave
14,The Cling,Boulder,V2,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111176889/the-cling
15,Spider'S Nest Dihedral,Boulder,V2,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"Start: Standing - Both hands on good crimps about half way up the right side of the dihedral, your left foot on a decent sloper and your right foot flagged around the arete.First move is into a sharp thumb-press mantel with your left hand.  Then, match your right foot on the starting foot hold and get a left-hand-foot match on the mantel.  From there, bring your left hand up into an 'Okay' left-side pull crimp.  Finally, get your right hand up to a good crimp, just to the right of the side-pull; get your right foot on the staring hand holds and top out on the boulder.***Note - This may already be an established route but, I have not been able to find any information on it.",https://www.mountainproject.com/route/117090265/spiders-nest-dihedral
16,The Wave Mantle,Boulder,V2,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Start with the decent left and good right hand under the shelf. Move up onto the shelf and mantle up with a high heel hook or lower feet. Stand up and finish over the middle.,https://www.mountainproject.com/route/111178745/the-wave-mantle
17,Crankshaft,Boulder,V3,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111077961/crankshaft
18,Spider'S Nest,Boulder,V3,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"Start: Standing - Both hands on good crimps about half way up the right side of the dihedral, your left foot on a decent sloper and your right foot flagged around the arete.Beginning of this is the same as Spider's Nest Dihedral:First move is into a sharp thumb-press mantel with your left hand.  Then, match your right foot on the starting foot hold and get a left-hand-foot match on the mantel.  From there, bring your left hand up into an 'Okay' left-side pull crimp.  Next, get your right hand up to a good crimp, just to the right of the side-pull.Where it differs:Once your right hand in on the good crimp, left hand out to a sharp crimp, over a slopey rail(this should make sense when you feel the hold); bring right foot in, match and then throw for the top of the boulder, there is a good rail.  Finally, get a high left foot on the lower part of the ledge and top out.***Note - This may already be an established route but, I have not been able to find any information on it.",https://www.mountainproject.com/route/117090379/spiders-nest
19,Go Make Some Babies,Boulder,V3,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111077985/go-make-some-babies
20,Cranky Piston Baby,Boulder,V3,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"Same start as Go Make Some Babies, move left along the crack and top out by moving around the corner with a heel and mantle.",https://www.mountainproject.com/route/111740562/cranky-piston-baby
